Node,Operator,Number of Params,Params (%),Memory (in Bytes),Memory (%),Compute Operations,Compute Operations (%),Compute-to-Memory Ratio (Operations/Byte),Weights and Bias Memory (%),Output Memory (%),Inputs Shape,Output Shape,Weights and Bias Shape,Inputs Size,Weights and Bias Size,Output Size,Inputs Memory (in Bytes),Weights and Bias Memory (in Bytes),Output Memory (in Bytes),Weights and Bias Memory (in MB),Output Memory (in MB),Memory (in MB)
/model/layers.18/self_attn/Shape_1,Shape,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,1x1x4096,3,,4096.0,0.0,3.0,8192.0,0.0,24.0,0.0,2.4e-05,2.4e-05
/model/layers.18/self_attn/q_proj/MatMul,MatMul,16777216.0,0.209,33562624.0,0.19,16777216.0,0.216,0.5,0.19,0.0,1x1x4096,1x1x4096,4096x4096,4096.0,16777216.0,4096.0,8192.0,33554432.0,8192.0,33.554432,0.008192,33.562624
/model/layers.18/self_attn/k_proj/MatMul,MatMul,4194304.0,0.052,,,4194304.0,0.054,,,,1x1x4096,1x1x1024,4096x1024,4096.0,4194304.0,1024.0,8192.0,,,,,
/model/layers.18/self_attn/v_proj/MatMul,MatMul,4194304.0,0.052,8390656.0,0.047,4194304.0,0.054,0.5,0.047,0.0,1x1x4096,1x1x1024,4096x1024,4096.0,4194304.0,1024.0,8192.0,8388608.0,2048.0,8.388608,0.002048,8.390656
Constant_7197,Constant,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,,1,,0.0,0.0,1.0,0.0,0.0,8.0,0.0,8e-06,8e-06
/model/layers.18/self_attn/Unsqueeze,Unsqueeze,0.0,0.0,,,0.0,0.0,,,,1,1,,1.0,0.0,1.0,8.0,,,,,
Constant_7199,Constant,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,,1,,0.0,0.0,1.0,0.0,0.0,8.0,0.0,8e-06,8e-06
/model/layers.18/self_attn/Unsqueeze_1,Unsqueeze,0.0,0.0,,,0.0,0.0,,,,1,1,,1.0,0.0,1.0,8.0,,,,,
/model/layers.18/self_attn/Constant_2,Constant,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,,1,,0.0,0.0,1.0,0.0,0.0,8.0,0.0,8e-06,8e-06
/model/layers.18/self_attn/Constant_3,Constant,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,,1,,0.0,0.0,1.0,0.0,0.0,8.0,0.0,8e-06,8e-06
/model/layers.18/self_attn/Concat,Concat,0.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,"1, 1, 1, 1",4,,4.0,0.0,4.0,32.0,0.0,32.0,0.0,3.2e-05,3.2e-05
/model/layers.18/self_attn/Reshape,Reshape,0.0,0.0,8192.0,0.0,0.0,0.0,0.0,0.0,0.0,"1x1x4096, 4",1x1x32x128,,4100.0,0.0,4096.0,8224.0,0.0,8192.0,0.0,0.008192,0.008192
/model/layers.18/self_attn/Transpose,Transpose,0.0,0.0,,,0.0,0.0,,,,1x1x32x128,1x32x1x128,,4096.0,0.0,4096.0,8192.0,,,,,
Constant_7206,Constant,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,,1,,0.0,0.0,1.0,0.0,0.0,8.0,0.0,8e-06,8e-06
/model/layers.18/self_attn/Unsqueeze_2,Unsqueeze,0.0,0.0,,,0.0,0.0,,,,1,1,,1.0,0.0,1.0,8.0,,,,,
Constant_7208,Constant,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,,1,,0.0,0.0,1.0,0.0,0.0,8.0,0.0,8e-06,8e-06
/model/layers.18/self_attn/Unsqueeze_3,Unsqueeze,0.0,0.0,,,0.0,0.0,,,,1,1,,1.0,0.0,1.0,8.0,,,,,
/model/layers.18/self_attn/Constant_4,Constant,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,,1,,0.0,0.0,1.0,0.0,0.0,8.0,0.0,8e-06,8e-06
/model/layers.18/self_attn/Constant_5,Constant,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,,1,,0.0,0.0,1.0,0.0,0.0,8.0,0.0,8e-06,8e-06
